T,mode,mean_error,max_error,err_at_0deg,err_at_90deg,err_at_180deg,err_at_270deg
50,none,0.193,0.3946,0.0,0.000277746410574764,0.0002489401667844504,0.00016188608424272388
50,alternating,0.1759,0.4701,0.0,0.0009755288483574986,0.0007357832510024309,0.0011659215670078993
50,full,0.2307,0.5027,0.0,0.0459333136677742,0.028674520552158356,0.057424288243055344
50,hybrid_early,0.1487,0.3967,0.0,0.0011544160079210997,0.0024807946756482124,0.0010165284620597959
50,hybrid_late,0.1126,0.2916,0.0,0.0010160582605749369,0.002610001713037491,0.0008467006264254451
30,none,0.2011,0.4431,0.0,0.002569369738921523,0.0039390679448843,0.00256945937871933
30,alternating,0.1052,0.2989,0.0,0.0024433997459709644,0.0009588193497620523,0.0009748534066602588
30,full,0.2232,0.3716,0.0,0.012087211012840271,0.016328001394867897,0.017323479056358337
30,hybrid_early,0.226,0.4447,0.0,0.02726580761373043,0.03135872632265091,0.0334085077047348
30,hybrid_late,0.1746,0.4119,0.0,0.003889308078214526,0.004934279713779688,0.0031676990911364555
